iter	RMSE
0	1722185.224
1	1691228.297
2	1662949.683
3	1640536.102
4	1615578.57
5	1590491.454
6	1567279.928
7	1541347.929
8	1518552.483
9	1497662.976
10	1476394.364
11	1457828.92
12	1438586.812
13	1419402.688
14	1403459.652
15	1387895.729
16	1371280.733
17	1352254.371
18	1336097.246
19	1320626.115
20	1303246.536
21	1289212.562
22	1272759.479
23	1258249.438
24	1245007.209
25	1232929.715
26	1218902.819
27	1206178.977
28	1194285.314
29	1184471.215
30	1173376.707
31	1163430.255
32	1153607.827
33	1145122.152
34	1134559.146
35	1126404.619
36	1117432.03
37	1108287.854
38	1097935.801
39	1090728.185
40	1082250.592
41	1076020.656
42	1068568.838
43	1063079.777
44	1057099.835
45	1050687.228
46	1045828.326
47	1039281.023
48	1034321.956
49	1028087.155
50	1019440.507
51	1013270.533
52	1006646.176
53	1000845.209
54	995629.3388
55	990412.8944
56	985204.7432
57	981156.0224
58	975244.4302
59	970618.1725
60	969144.293
61	964906.7075
62	960324.4064
63	958415.0209
64	956336.4429
65	952343.9951
66	947367.2822
67	945993.5051
68	941641.3419
69	939781.6709
70	935920.0419
71	933297.183
72	929739.637
73	927285.7044
74	923275.8067
75	920057.8186
76	916984.5658
77	912278.0824
78	908549.1816
79	905026.1611
80	902718.5024
81	900373.871
82	896597.5831
83	893233.8451
84	890894.0833
85	889571.324
86	886542.8788
87	885097.9628
88	883099.0838
89	880292.7928
90	878706.8088
91	876201.7548
92	873556.9355
93	870032.4988
94	867083.2511
95	865583.9375
96	861822.897
97	859097.9164
98	857114.3903
99	854516.7496
100	851485.4553
101	849886.6445
102	846828.5053
103	844739.3908
104	842236.2419
105	839669.174
106	837692.1852
107	836210.3758
108	833970.0469
109	831544.0915
110	829113.246
111	828263.5783
112	825593.4016
113	823314.9118
114	821108.5007
115	818676.1411
116	816849.5694
117	815627.2247
118	814762.5097
119	813665.3658
120	811992.914
121	810179.2655
122	807552.6832
123	804799.9811
124	804655.2037
125	803975.3895
126	802189.7437
127	799519.4256
128	797794.1163
129	796677.779
130	794403.9479
131	793521.7857
132	790473.7297
133	789331.8655
134	787775.2467
135	787128.8244
136	784530.651
137	781879.5801
138	780543.2778
139	778911.7165
140	776990.7602
141	776337.1215
142	775334.013
143	774359.0455
144	772811.515
145	770769.4113
146	769134.5742
147	767169.6771
148	766099.4087
149	765134.8906
150	764365.564
151	763492.7156
152	760449.0805
153	759971.1672
154	758343.5016
155	757424.8036
156	754353.9168
157	753626.7806
158	751681.399
159	750607.0852
160	749753.5969
161	748876.2014
162	748221.2477
163	748076.0295
164	746036.7495
165	745128.0878
166	743563.3317
167	741142.9063
168	740751.4295
169	738994.0982
170	737541.4238
171	735131.3409
172	733404.3868
173	732089.113
174	730987.5452
175	729034.3085
176	727632.0819
177	727048.0631
178	726241.9062
179	725716.744
180	724930.9594
181	724031.9832
182	723834.1432
183	723194.9261
184	722339.5821
185	722160.527
186	721388.86
187	719870.9209
188	719530.1502
189	718856.2608
190	717431.5387
191	716620.0967
192	715643.3776
193	714529.5058
194	712099.803
195	710949.8516
196	709801.2989
197	708567.564
198	706990.0884
199	705969.5301
200	704575.952
201	703589.1408
202	702249.4978
203	701171.7002
204	699394.1421
205	698767.1983
206	697226.4964
207	695366.5185
208	694893.2455
209	693120.5184
210	692338.8136
211	690650.4229
212	689977.7552
213	687992.1843
214	686260.3704
215	685285.5356
216	684062.2629
217	682635.0584
218	681736.9149
219	681125.0157
220	680062.9758
221	679415.4792
222	678695.8714
223	677301.6985
224	677019.4333
225	676076.151
226	674725.5351
227	673529.2895
228	671761.8375
229	671305.4618
230	670073.7085
231	668778.0291
232	667852.2604
233	667348.1878
234	665830.3176
235	665194.7052
236	664403.8138
237	663837.9596
238	663195.3994
239	662855.2903
240	662001.1637
241	661173.0995
242	660806.9619
243	659913.5931
244	658523.9445
245	656827.8629
246	655421.258
247	653812.4822
248	653632.0101
249	652266.4258
250	650931.6237
251	649552.0507
252	648565.8553
253	647117.4552
254	646661.8311
255	645532.1814
256	644260.8629
257	643320.3745
258	642036.526
259	640563.6139
260	639543.0101
261	638528.2681
262	638028.907
263	637920.7226
264	637535.5669
265	636037.6151
266	635760.2176
267	635660.5369
268	634624.4766
269	634396.0967
270	633237.4759
271	632163.8653
272	631898.5261
273	631060.2699
274	630133.6455
275	628916.5834
276	627954.5878
277	627053.1791
278	626315.7322
279	626048.886
280	624653.9797
281	623942.1887
282	623821.2223
283	623290.0876
284	623087.2729
285	622273.2699
286	621370.6736
287	620229.5261
288	619547.6143
289	618720.4997
290	618214.377
291	617510.6741
292	616527.2592
293	615723.1055
294	615201.1804
295	614502.6147
296	613914.5772
297	612512.3651
298	611880.364
299	610917.4831
300	610108.7986
301	609315.1976
302	607035.7523
303	605907.9009
304	604573.706
305	603934.1277
306	603200.506
307	601386.4387
308	601002.8987
309	600576.2895
310	599785.7824
311	598990.0352
312	598911.5956
313	598807.8746
314	598052.7631
315	597570.8146
316	597500.8061
317	596952.7135
318	596903.7245
319	596344.2161
320	595769.9925
321	595182.7088
322	594228.7054
323	593148.3503
324	592479.6519
325	591199.5883
326	590659.8777
327	590015.6659
328	589948.3902
329	589310.1596
330	587809.0596
331	587538.8884
332	587492.0512
333	587100.7026
334	586792.6479
335	586725.2291
336	585515.1342
337	584124.269
338	583418.7242
339	582809.2214
340	582229.1356
341	581204.6592
342	581149.7808
343	581058.5877
344	580874.5635
345	579939.9467
346	579284.251
347	579227.9199
348	578766.3699
349	578002.8326
350	577472.5429
351	576063.2198
352	575999.416
353	575223.1824
354	574231.4058
355	573136.5459
356	573093.4146
357	571991.4616
358	571694.0886
359	571648.1685
360	570656.5391
361	570605.623
362	570316.7922
363	570275.7839
364	569670.0173
365	569615.6478
366	569200.8224
367	568630.8543
368	568579.8251
369	568381.573
370	568083.942
371	568015.1995
372	567619.9492
373	567270.4154
374	566697.8933
375	565900.6714
376	565006.6564
377	564483.9535
378	564124.6693
379	563424.3134
380	562975.586
381	562246.0065
382	561549.4944
383	561185.6455
384	560197.7822
385	559893.0903
386	559855.3655
387	559220.7542
388	559010.0418
389	558032.2642
390	556880.4631
391	555541.3872
392	554389.5841
393	553972.9986
394	553701.7078
395	552470.6636
396	551504.0802
397	551049.3069
398	550047.264
399	548957.7291
400	547731.9935
401	546792.5801
402	545187.6789
403	544765.4552
404	544450.234
405	544316.1599
406	543810.9744
407	543503.4002
408	543137.8469
409	542668.8933
410	542629.5467
411	542329.3253
412	541918.3684
