iter	Passed	Remaining
0	49	49083
1	49	24620
2	49	16479
3	49	12405
4	50	9962
5	50	8333
6	50	7166
7	50	6292
8	50	5612
9	51	5070
10	51	4625
11	51	4253
12	51	3939
13	52	3669
14	52	3436
15	52	3232
16	52	3052
17	53	2894
18	53	2753
19	53	2625
20	53	2512
21	54	2405
22	54	2308
23	54	2219
24	54	2139
25	55	2063
26	55	1993
27	55	1930
28	55	1872
29	56	1816
30	56	1764
31	56	1715
32	56	1668
33	57	1623
34	57	1581
35	57	1541
36	57	1504
37	58	1469
38	58	1435
39	58	1402
40	58	1372
41	58	1343
42	59	1315
43	59	1287
44	59	1262
45	59	1238
46	59	1213
47	60	1192
48	60	1170
49	60	1150
50	60	1130
51	61	1112
52	61	1095
53	61	1078
54	61	1061
55	61	1045
56	62	1030
57	62	1015
58	62	1000
59	62	986
60	63	971
61	63	958
62	63	945
63	63	931
64	63	917
65	63	905
66	64	894
67	64	881
68	64	870
69	64	858
70	64	848
71	65	838
72	65	829
73	65	819
74	65	811
75	65	802
76	66	793
77	66	785
78	66	777
79	66	769
80	67	762
81	67	754
82	67	747
83	67	740
84	68	733
85	68	725
86	68	718
87	68	710
88	68	704
89	69	697
90	69	690
91	69	684
92	69	678
93	69	673
94	70	668
95	70	663
96	70	658
97	70	652
98	71	647
99	71	643
100	71	638
101	71	633
102	72	628
103	72	623
104	72	618
105	72	614
106	73	610
107	73	605
108	73	601
109	73	597
110	74	592
111	74	588
112	74	584
113	74	580
114	74	576
115	75	572
116	75	569
117	75	565
118	75	560
119	75	557
120	76	553
121	76	550
122	76	546
123	76	543
124	77	539
125	77	535
126	77	532
127	77	528
128	77	525
129	78	522
130	78	519
131	78	516
132	78	513
133	78	510
134	79	507
135	79	504
136	79	501
137	79	499
138	80	496
139	80	493
140	80	491
141	80	488
142	80	485
143	81	482
144	81	480
145	81	477
146	81	475
147	82	473
148	82	471
149	82	469
150	83	466
151	83	464
152	83	462
153	83	459
154	83	457
155	84	454
156	84	452
157	84	450
158	84	448
159	85	446
160	85	444
161	85	442
162	85	440
163	85	437
164	86	435
165	86	433
166	86	431
167	86	430
168	86	427
169	87	425
170	87	423
171	87	422
172	87	420
173	88	418
174	88	416
175	88	415
176	88	413
177	89	411
178	89	410
179	89	408
180	89	407
181	90	405
182	90	403
183	90	401
184	90	399
185	90	397
186	91	396
187	91	394
188	91	393
189	91	391
190	92	389
191	92	388
192	92	386
193	92	385
194	92	383
195	93	382
196	93	380
197	93	379
198	93	377
199	94	376
200	94	374
201	94	373
202	94	371
203	94	370
204	95	369
205	95	367
206	95	366
207	96	365
208	96	364
209	96	362
210	96	361
211	96	360
212	97	358
213	97	357
214	97	356
215	98	355
216	98	354
217	98	353
218	98	351
219	98	350
220	99	349
221	99	348
222	99	347
223	99	346
224	100	344
225	100	343
226	100	342
227	100	341
228	101	340
229	101	338
230	101	337
231	101	336
232	101	335
233	102	334
234	102	333
